taskid,score
00576224,-1
007bbfb7,3
009d5c81,-1
00d62c1b,3
00dbd492,-1
017c7c7b,33
025d127b,3
03560426,-1
045e512c,-1
0520fde7,3
05269061,3
05a7bcf2,-1
05f2a901,-1
0607ce86,-1
0692e18c,3
06df4c85,3
070dd51e,3
08573cc6,-1
08ed6ac7,-1
0934a4d8,-1
09629e4f,3
0962bcdd,3
09c534e7,-1
0a1d4ef5,-1
0a2355a6,-1
0a938d79,-1
0b148d64,3
0b17323b,-1
0bb8deee,4
0becf7df,-1
0c786b71,3
0c9aba6e,3
0ca9ddb6,-1
0d3d703e,-1
0d87d2a6,-1
0dfd9992,3
0e206a2e,-1
0e671a1a,-1
0f63c0b9,3
103eff5b,-1
10fcaaa3,-1
11852cab,-1
1190e5a7,3
11e1fe23,-1
12422b43,-1
12997ef3,3
12eac192,3
136b0064,-1
13713586,-1
137eaa0f,-1
137f0df0,3
140c817e,3
14754a24,-1
150deff5,-1
15113be4,-1
15663ba9,-1
15696249,23
16b78196,-1
178fcbfb,3
17b80ad2,3
17cae0c1,-1
18419cfa,3
184a9768,-1
195ba7dc,3
1990f7a8,-1
19bb5feb,3
1a07d186,-1
1a2e2828,3
1a6449f1,3
1acc24af,-1
1b2d62fb,3
1b60fb0c,-1
1bfc4729,3
1c02dbbe,3
1c0d0a4b,3
1c56ad9f,-1
1c786137,3
1caeab9d,-1
1cf80156,3
1d0a4b61,3
1d398264,3
1da012fc,-1
1e0a9b12,3
1e32b0e9,3
1e81d6f9,3
1e97544e,-1
1f0c79e5,3
1f642eb9,-1
1f85a75f,3
1f876c06,3
1fad071e,3
2013d3e2,3
2037f2c7,-1
2072aba6,3
20818e16,3
20981f0e,-1
212895b5,-1
21f83797,3
2204b7a8,3
22168020,3
22233c11,-1
2281f1f4,3
228f6490,3
22a4bbc2,-1
22eb0ac0,3
234bbc79,-1
23581191,23
239be575,3
23b5c85d,3
25094a63,-1
253bf280,3
2546ccf6,4
256b0a75,-1
25d487eb,3
25d8a9c8,-1
25ff71a9,3
264363fd,-1
2685904e,-1
2697da3f,-1
272f95fa,3
2753e76c,4
27a28665,-1
27a77e38,3
27f8ce4f,3
281123b4,3
28bf18c6,3
28e73c20,-1
292dd178,-1
29623171,3
29700607,-1
29c11459,-1
29ec7d0e,3
2a5f8217,-1
2b01abd0,-1
2bcee788,4
2bee17df,3
2c0b0aff,23
2c608aff,-1
2c737e39,-1
2dc579da,3
2dd70a9a,-1
2dee498d,3
2f0c5170,-1
310f3251,-1
3194b014,3
319f2597,3
31aa019c,3
31adaf00,-1
31d5ba1a,3
321b1fc6,-1
32597951,3
32e9702f,3
332efdb3,3
3345333e,-1
3391f8c0,-1
33b52de3,-1
3428a4f5,3
3490cc26,-1
34b99a2b,3
351d6448,-1
358ba94e,3
3618c87e,3
3631a71a,-1
363442ee,-1
36d67576,-1
36fdfd69,-1
37d3e8b2,-1
3906de3d,3
3979b1a8,3
39a8645d,-1
39e1d7f9,-1
3a301edc,-1
3aa6fb7a,3
3ac3eb23,-1
3af2c5a8,3
3b4c2228,3
3bd67248,3
3bdb4ada,-1
3befdf3e,-1
3c9b0459,3
3d31c5b3,3
3de23699,-1
3e980e27,-1
3ed85e70,-1
3eda0437,-1
3ee1011a,-1
3f23242b,-1
3f7978a0,-1
40853293,3
4093f84a,-1
40f6cd08,-1
414297c0,-1
41e4d17e,-1
423a55dc,-1
4258a5f9,3
4290ef0e,-1
42918530,-1
42a15761,-1
42a50994,3
4347f46a,3
4364c1c4,-1
444801d8,3
445eab21,3
447fd412,-1
44d8ac46,-1
44f52bb0,3
4522001f,-1
456873bc,-1
45737921,23
45bbe264,3
4612dd53,23
46442a0e,-1
469497ad,-1
46f33fce,-1
477d2879,-1
47996f11,3
47c1f68c,3
48131b3c,3
484b58aa,-1
4852f2fa,3
48d8fb45,3
48f8583b,3
4938f0c2,-1
496994bd,3
49d1d64f,3
4aab4007,3
4acc7107,-1
4b6b68e5,-1
4be741c5,3
4c177718,-1
4c4377d9,3
4c5c2cf0,-1
4cd1b7b2,3
4e45f183,-1
4e469f39,-1
4f537728,3
4ff4c9da,-1
505fff84,-1
506d28a5,3
50846271,-1
508bd3b6,-1
50a16a69,3
50aad11f,4
50cb2852,3
50f325b5,-1
5117e062,3
5168d44c,-1
516b51b7,3
5207a7b5,-1
5289ad53,-1
52fd389e,-1
539a4f51,-1
53b68214,3
543a7ed5,3
54d82841,3
54d9e175,-1
54db823b,3
55059096,-1
551d5bf1,-1
